,temp,hum,windspeed,atemp,cnt
0,0.24,0.81,0.0,0.2879,16
1,0.22,0.8,0.0,0.2727,40
2,0.22,0.8,0.0,0.2727,32
3,0.24,0.75,0.0,0.2879,13
4,0.24,0.75,0.0,0.2879,1
5,0.24,0.75,0.0896,0.2576,1
6,0.22,0.8,0.0,0.2727,2
7,0.2,0.86,0.0,0.2576,3
8,0.24,0.75,0.0,0.2879,8
9,0.32,0.76,0.0,0.3485,14
10,0.38,0.76,0.2537,0.3939,36
11,0.36,0.81,0.2836,0.3333,56
12,0.42,0.77,0.2836,0.4242,84
13,0.46,0.72,0.2985,0.4545,94
14,0.46,0.72,0.2836,0.4545,106
15,0.44,0.77,0.2985,0.4394,110
16,0.42,0.82,0.2985,0.4242,93
17,0.44,0.82,0.2836,0.4394,67
18,0.42,0.88,0.2537,0.4242,35
19,0.42,0.88,0.2537,0.4242,37
20,0.4,0.87,0.2537,0.4091,36
21,0.4,0.87,0.194,0.4091,34
22,0.4,0.94,0.2239,0.4091,28
23,0.46,0.88,0.2985,0.4545,39
24,0.46,0.88,0.2985,0.4545,17
25,0.44,0.94,0.2537,0.4394,17
26,0.42,1.0,0.2836,0.4242,9
27,0.46,0.94,0.194,0.4545,6
28,0.46,0.94,0.194,0.4545,3
29,0.42,0.77,0.2985,0.4242,2
30,0.4,0.76,0.194,0.4091,1
31,0.4,0.71,0.2239,0.4091,8
32,0.38,0.76,0.2239,0.3939,20
33,0.36,0.81,0.2239,0.3485,53
34,0.36,0.71,0.2537,0.3333,70
35,0.36,0.66,0.2985,0.3333,93
36,0.36,0.66,0.1343,0.3485,75
37,0.36,0.76,0.194,0.3485,59
38,0.34,0.81,0.1642,0.3333,74
39,0.34,0.71,0.1642,0.3333,76
40,0.34,0.57,0.194,0.3333,65
41,0.36,0.46,0.3284,0.3333,53
42,0.32,0.42,0.4478,0.2879,30
43,0.3,0.39,0.3582,0.2727,22
44,0.26,0.44,0.3284,0.2273,31
45,0.24,0.44,0.2985,0.2121,9
46,0.22,0.47,0.1642,0.2273,8
47,0.22,0.44,0.3582,0.197,5
48,0.2,0.44,0.4179,0.1667,2
49,0.16,0.47,0.3881,0.1364,1
50,0.16,0.47,0.2836,0.1364,3
51,0.14,0.5,0.3881,0.1061,30
52,0.14,0.5,0.194,0.1364,64
53,0.14,0.5,0.2836,0.1212,154
54,0.16,0.43,0.3881,0.1364,88
55,0.18,0.43,0.2537,0.1667,44
56,0.2,0.4,0.3284,0.1818,51
57,0.22,0.35,0.2985,0.2121,61
58,0.24,0.35,0.2836,0.2121,61
59,0.26,0.3,0.2836,0.2424,77
60,0.26,0.3,0.2537,0.2424,72
61,0.26,0.3,0.2537,0.2424,76
62,0.24,0.3,0.2239,0.2273,157
63,0.24,0.32,0.1045,0.2576,157
64,0.2,0.47,0.0,0.2576,110
65,0.2,0.47,0.1045,0.2273,52
66,0.18,0.64,0.1343,0.197,52
67,0.14,0.69,0.1343,0.1515,20
68,0.18,0.55,0.1045,0.2121,12
69,0.16,0.55,0.1045,0.1818,5
70,0.16,0.59,0.1045,0.1818,2
71,0.14,0.63,0.1343,0.1515,1
72,0.14,0.63,0.0896,0.1818,2
73,0.12,0.68,0.1045,0.1515,4
74,0.12,0.74,0.1045,0.1515,36
75,0.12,0.74,0.1343,0.1515,94
76,0.14,0.69,0.1642,0.1515,179
77,0.16,0.64,0.2239,0.1515,100
78,0.16,0.69,0.3284,0.1364,42
79,0.22,0.51,0.2985,0.2121,57
80,0.22,0.51,0.1642,0.2273,78
81,0.24,0.56,0.194,0.2273,97
82,0.26,0.52,0.2239,0.2576,63
83,0.28,0.52,0.2537,0.2727,65
84,0.3,0.49,0.2537,0.2879,83
85,0.28,0.48,0.2239,0.2727,212
86,0.26,0.48,0.194,0.2576,182
87,0.24,0.48,0.1045,0.2576,112
88,0.24,0.48,0.1045,0.2576,54
89,0.22,0.64,0.0,0.2727,48
90,0.22,0.64,0.0896,0.2576,35
91,0.2,0.69,0.0896,0.2273,11
92,0.2,0.64,0.0,0.2576,6
93,0.16,0.74,0.0896,0.197,6
94,0.16,0.74,0.0896,0.197,2
95,0.24,0.48,0.2239,0.2273,2
96,0.22,0.47,0.1642,0.2273,3
97,0.2,0.47,0.2239,0.197,33
98,0.18,0.43,0.194,0.1818,88
99,0.2,0.4,0.2985,0.1818,195
100,0.22,0.37,0.3284,0.197,115
101,0.22,0.37,0.3284,0.197,57
102,0.26,0.33,0.3284,0.2273,46
103,0.26,0.33,0.3284,0.2273,79
104,0.28,0.3,0.2985,0.2576,71
105,0.3,0.28,0.194,0.2879,62
106,0.3,0.28,0.194,0.2879,62
107,0.3,0.28,0.0896,0.3182,89
108,0.24,0.38,0.194,0.2273,190
109,0.24,0.38,0.1343,0.2424,169
110,0.24,0.38,0.1045,0.2576,132
111,0.22,0.47,0.1642,0.2273,89
112,0.2,0.51,0.194,0.197,43
113,0.18,0.55,0.1343,0.197,42
114,0.2,0.47,0.0,0.2576,19
115,0.18,0.55,0.0,0.2424,11
116,0.16,0.64,0.0,0.2273,4
117,0.16,0.64,0.0,0.2273,2
118,0.16,0.64,0.0896,0.197,1
119,0.14,0.69,0.0896,0.1818,4
120,0.14,0.63,0.1045,0.1667,36
121,0.16,0.59,0.0,0.2273,95
122,0.16,0.59,0.0,0.2273,219
123,0.18,0.51,0.0,0.2424,122
124,0.2,0.47,0.0,0.2576,45
125,0.22,0.44,0.0896,0.2576,59
126,0.26,0.35,0.0,0.2879,84
127,0.26,0.35,0.1045,0.2727,67
128,0.28,0.36,0.1642,0.2727,70
129,0.28,0.36,0.0,0.2727,62
130,0.26,0.38,0.1642,0.2576,86
131,0.22,0.51,0.1642,0.2273,172
132,0.22,0.51,0.1343,0.2273,163
133,0.22,0.55,0.0896,0.2576,112
134,0.2,0.51,0.1642,0.2121,69
135,0.22,0.55,0.2239,0.2121,48
136,0.22,0.51,0.2836,0.2121,52
137,0.2,0.59,0.194,0.197,23
138,0.2,0.64,0.194,0.197,17
139,0.2,0.69,0.2239,0.197,7
140,0.2,0.69,0.2239,0.197,1
141,0.2,0.69,0.1343,0.2121,1
142,0.22,0.55,0.0,0.2727,5
143,0.2,0.69,0.0,0.2576,34
144,0.2,0.69,0.1343,0.2121,84
145,0.2,0.51,0.2537,0.197,210
146,0.2,0.47,0.2985,0.1818,134
147,0.22,0.37,0.3284,0.197,63
148,0.2,0.4,0.2239,0.197,67
149,0.2,0.37,0.2537,0.197,59
150,0.2,0.37,0.2836,0.1818,73
151,0.2,0.4,0.2537,0.197,50
152,0.2,0.37,0.1642,0.2121,72
153,0.2,0.37,0.1642,0.2121,87
154,0.2,0.37,0.0,0.2576,187
155,0.2,0.4,0.0896,0.2273,123
156,0.16,0.55,0.0896,0.197,95
157,0.18,0.47,0.1045,0.2121,51
158,0.18,0.47,0.1343,0.197,39
159,0.18,0.43,0.1642,0.197,36
160,0.18,0.51,0.1642,0.197,15
161,0.18,0.51,0.1642,0.197,25
162,0.18,0.55,0.0896,0.2121,16
163,0.18,0.55,0.0,0.2424,16
164,0.18,0.55,0.1642,0.197,7
165,0.18,0.55,0.1642,0.197,1
166,0.16,0.74,0.1642,0.1667,5
167,0.16,0.74,0.1642,0.1667,2
168,0.16,0.74,0.1045,0.1818,9
169,0.16,0.93,0.1045,0.1818,15
170,0.16,0.93,0.1045,0.1818,20
171,0.18,0.8,0.1642,0.197,61
172,0.2,0.69,0.3881,0.1818,62
173,0.2,0.59,0.3582,0.1818,98
174,0.2,0.44,0.3284,0.1818,102
175,0.2,0.32,0.4925,0.1667,95
176,0.2,0.32,0.4478,0.1667,74
177,0.18,0.29,0.4478,0.1364,76
178,0.16,0.37,0.5522,0.1212,69
179,0.14,0.39,0.2985,0.1212,55
180,0.14,0.36,0.2537,0.1212,30
181,0.12,0.36,0.2537,0.1212,28
182,0.12,0.39,0.3582,0.1061,37
183,0.12,0.36,0.3881,0.1061,34
184,0.1,0.39,0.4478,0.0606,22
185,0.1,0.42,0.3881,0.0758,25
186,0.1,0.42,0.4627,0.0606,12
187,0.1,0.46,0.4627,0.0606,11
188,0.1,0.46,0.4179,0.0758,4
189,0.08,0.53,0.194,0.0909,1
190,0.08,0.53,0.194,0.0909,1
191,0.1,0.49,0.2836,0.0909,1
192,0.08,0.53,0.194,0.0909,6
193,0.1,0.49,0.2836,0.0909,10
194,0.12,0.46,0.5224,0.0758,19
195,0.14,0.43,0.3881,0.1061,49
196,0.16,0.4,0.5224,0.1212,49
197,0.18,0.37,0.4478,0.1364,83
198,0.2,0.34,0.4478,0.1667,75
199,0.22,0.32,0.4627,0.1818,72
200,0.22,0.35,0.3582,0.197,82
201,0.2,0.34,0.4478,0.1667,92
202,0.18,0.37,0.3881,0.1515,62
203,0.16,0.4,0.3284,0.1364,48
204,0.16,0.43,0.3284,0.1364,41
205,0.14,0.46,0.2537,0.1212,38
206,0.14,0.46,0.4179,0.1061,20
207,0.14,0.46,0.2985,0.1212,15
208,0.12,0.5,0.194,0.1364,6
209,0.12,0.5,0.2836,0.1212,5
210,0.12,0.5,0.2836,0.1212,1
211,0.12,0.5,0.2239,0.1212,3
212,0.12,0.5,0.2239,0.1212,1
213,0.1,0.54,0.1343,0.1212,3
214,0.1,0.54,0.2537,0.1061,3
215,0.12,0.5,0.2836,0.1212,31
216,0.12,0.5,0.2239,0.1212,77
217,0.12,0.5,0.2836,0.1212,188
218,0.14,0.5,0.2537,0.1212,94
219,0.14,0.5,0.2985,0.1212,31
220,0.16,0.47,0.2836,0.1364,30
221,0.2,0.4,0.2836,0.1818,52
222,0.2,0.4,0.2836,0.1818,54
223,0.2,0.4,0.2239,0.197,47
224,0.2,0.4,0.2239,0.197,45
225,0.2,0.4,0.1343,0.2121,74
226,0.2,0.4,0.1045,0.2273,178
227,0.2,0.4,0.2239,0.197,155
228,0.16,0.47,0.1642,0.1667,95
229,0.16,0.5,0.1642,0.1667,74
230,0.14,0.59,0.194,0.1364,38
231,0.14,0.59,0.1642,0.1515,24
232,0.14,0.59,0.1642,0.1515,18
233,0.14,0.59,0.1045,0.1667,12
234,0.14,0.59,0.1642,0.1515,3
235,0.16,0.55,0.194,0.1515,3
236,0.16,0.55,0.1343,0.1818,6
237,0.16,0.55,0.1343,0.1818,27
238,0.16,0.55,0.0,0.2273,99
239,0.18,0.51,0.0896,0.2121,217
240,0.18,0.51,0.1642,0.197,130
241,0.2,0.51,0.1642,0.2121,54
242,0.2,0.47,0.1343,0.2121,35
243,0.2,0.51,0.1045,0.2273,57
244,0.2,0.59,0.0896,0.2273,52
245,0.2,0.59,0.0896,0.2273,63
246,0.16,0.8,0.0896,0.197,47
247,0.16,0.86,0.2239,0.1515,76
248,0.16,0.86,0.2239,0.1515,136
249,0.16,0.93,0.1045,0.1818,95
250,0.16,0.93,0.0,0.2273,51
251,0.16,0.93,0.194,0.1515,32
252,0.16,0.86,0.0896,0.197,20
253,0.16,0.93,0.1045,0.1818,29
254,0.16,0.93,0.0896,0.197,19
255,0.16,0.86,0.0896,0.197,7
256,0.16,0.86,0.1045,0.1818,6
257,0.14,0.86,0.1343,0.1515,1
258,0.14,0.86,0.1642,0.1515,5
259,0.12,0.93,0.1343,0.1515,16
260,0.14,0.69,0.1343,0.1515,54
261,0.16,0.59,0.1642,0.1667,128
262,0.16,0.59,0.3284,0.1364,81
263,0.18,0.55,0.2239,0.1818,39
264,0.2,0.51,0.3881,0.1818,35
265,0.2,0.47,0.5821,0.1515,55
266,0.22,0.44,0.3582,0.197,49
267,0.2,0.47,0.3284,0.1818,44
268,0.2,0.47,0.4179,0.1667,49
269,0.22,0.44,0.3284,0.197,68
270,0.2,0.47,0.3582,0.1818,139
271,0.2,0.47,0.5224,0.1515,137
272,0.18,0.47,0.4179,0.1515,83
273,0.16,0.5,0.3284,0.1364,56
274,0.16,0.55,0.3284,0.1364,57
275,0.16,0.55,0.4478,0.1212,33
276,0.14,0.59,0.4179,0.1061,20
277,0.14,0.59,0.2836,0.1212,7
278,0.14,0.5,0.2836,0.1212,2
279,0.14,0.5,0.3582,0.1212,2
280,0.14,0.5,0.3284,0.1212,3
281,0.14,0.5,0.2537,0.1212,4
282,0.14,0.5,0.2985,0.1212,3
283,0.12,0.54,0.1343,0.1515,28
284,0.12,0.54,0.1343,0.1515,72
285,0.14,0.5,0.194,0.1364,202
286,0.14,0.5,0.3284,0.1212,139
287,0.16,0.5,0.3582,0.1364,38
288,0.2,0.44,0.4478,0.1667,37
289,0.2,0.44,0.4179,0.1667,52
290,0.22,0.41,0.4478,0.197,83
291,0.22,0.41,0.3881,0.197,42
292,0.24,0.38,0.2985,0.2121,60
293,0.24,0.38,0.3582,0.2121,78
294,0.2,0.4,0.2836,0.1818,162
295,0.2,0.4,0.3284,0.1818,144
296,0.16,0.47,0.2537,0.1515,99
297,0.16,0.47,0.2239,0.1515,64
298,0.14,0.46,0.2985,0.1212,40
299,0.14,0.46,0.3284,0.1212,30
300,0.12,0.5,0.194,0.1364,15
301,0.12,0.5,0.194,0.1364,14
302,0.1,0.54,0.1642,0.1212,5
303,0.1,0.54,0.1343,0.1212,1
304,0.1,0.54,0.1045,0.1364,1
305,0.1,0.54,0.0896,0.1364,8
306,0.1,0.54,0.0,0.1818,17
307,0.1,0.74,0.1642,0.1212,70
308,0.12,0.68,0.0,0.1667,158
309,0.14,0.69,0.1343,0.1515,117
310,0.18,0.55,0.194,0.1818,44
311,0.18,0.51,0.2836,0.1667,53
312,0.2,0.44,0.2537,0.197,61
313,0.22,0.37,0.3881,0.197,77
314,0.22,0.41,0.2836,0.2121,64
315,0.24,0.38,0.1642,0.2424,68
316,0.22,0.41,0.1045,0.2424,90
317,0.22,0.41,0.1642,0.2273,159
318,0.2,0.47,0.0,0.2576,139
319,0.16,0.59,0.0896,0.197,92
320,0.18,0.59,0.0,0.2424,68
321,0.16,0.69,0.0,0.2273,52
322,0.16,0.69,0.0,0.2273,36
323,0.18,0.55,0.0,0.2424,27
324,0.18,0.55,0.0,0.2424,28
325,0.16,0.59,0.0896,0.197,20
326,0.16,0.59,0.0896,0.197,12
327,0.16,0.59,0.0,0.2273,8
328,0.16,0.59,0.0,0.2273,5
329,0.16,0.59,0.0,0.2273,1
330,0.14,0.63,0.1045,0.1667,3
331,0.14,0.63,0.0,0.2121,10
332,0.14,0.63,0.1343,0.1515,23
333,0.16,0.64,0.1343,0.1818,33
334,0.18,0.59,0.1642,0.197,59
335,0.2,0.55,0.2239,0.197,72
336,0.24,0.48,0.2239,0.2273,89
337,0.28,0.38,0.2985,0.2576,101
338,0.3,0.39,0.2836,0.2879,118
339,0.32,0.36,0.194,0.3182,129
340,0.34,0.34,0.194,0.3333,128
341,0.32,0.36,0.2836,0.303,83
342,0.3,0.45,0.2537,0.2879,84
343,0.32,0.39,0.2537,0.303,74
344,0.32,0.39,0.2537,0.303,41
345,0.32,0.39,0.2239,0.303,57
346,0.3,0.42,0.1045,0.3182,26
